Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
125333,"The Encounter (Animorphs, #3)",K.A. Applegate,"Applegate, K.A.",Katherine Applegate,"=""0590629794""","=""9780590629799""",5,3.89,Scholastic Paperbacks,Mass Market Paperback,154,1996,1996,,2018/02/24,fiction,fiction (#100),read,,,,1,0
948507,"The Eternity Code (Artemis Fowl, #3)",Eoin Colfer,"Colfer, Eoin",,"=""0786818158""","=""9780786818150""",4,4.05,Disney-Hyperion,Paperback,309,2003,2003,,2018/02/24,fiction,fiction (#102),read,,,,1,0
363394,"The Departure (Animorphs, #19)",K.A. Applegate,"Applegate, K.A.",Katherine Applegate,"=""0590494511""","=""9780590494519""",5,3.94,Scholastic Inc.,Paperback,159,1998,1998,,2018/02/24,fiction,fiction (#101),read,,,,1,0
343803,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0439567629""","=""9780439567626""",5,4.50,Arthur A. Levine Books,Hardcover,870,2003,2003,,2018/02/24,fiction,fiction (#91),read,,,,1,0
265016,Othello,William Shakespeare,"Shakespeare, William","Rex Gibson, Jane Coles","=""0521618762""","=""9780521618762""",3,3.90,Cambridge University Press,Paperback,256,2005,1603,,2018/02/24,fiction,fiction (#95),read,,,,1,0
1764046,"Escape from Vampire Park (Graveyard School, #25)",Tom B. Stone,"Stone, Tom B.",,"=""0553485407""","=""9780553485400""",2,3.28,Skylark,Paperback,112,1998,1998,,2018/02/24,fiction,fiction (#105),read,,,,1,0
20893457,"Foxglove Summer (Peter Grant, #5)",Ben Aaronovitch,"Aaronovitch, Ben",,"=""0756409667""","=""9780756409661""",5,4.20,DAW,Paperback,323,2015,2014,,2018/02/26,fiction,fiction (#116),read,,,,1,0
10409571,"Summer Knight (The Dresden Files, #4)",Jim Butcher,"Butcher, Jim",,"=""0356500306""","=""9780356500300""",5,4.27,Orbit,Paperback,417,2011,2002,,2018/02/26,fiction,fiction (#118),read,,,,1,0
30904405,"The Aeronaut's Windlass (The Cinder Spires, #1)",Jim Butcher,"Butcher, Jim",,"=""0356503666""","=""9780356503660""",5,4.18,Orbit,Paperback,630,2016,2015,,2018/02/26,fiction,fiction (#121),read,,,,1,0
375802,"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,"Card, Orson Scott",,"=""0812550706""","=""9780812550702""",3,4.31,Tor,Mass Market Paperback,324,2004,1985,,2018/03/09,e-shelf,e-shelf (#29),read,,,,1,0
